"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @BrandZRankings: The apparel category has accelerated its growth this year, rising by 6%. 

- @Nike thrives as no. 1
- @lululemon is the…",FALSE,0,NA,2019-06-14 16:24:46,FALSE,NA,"1139569379451068416",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Kantar",1,TRUE,FALSE,NA,NA
"RT @hayleynthejets: we love supporting @OutRightIntl in helping to work to advance human rights for LGBTQ+ people all over the world <U+2764><U+FE0F><U+0001F9E1><U+0001F49B><U+0001F49A><U+0001F499>…",FALSE,0,NA,2019-06-14 15:52:22,FALSE,NA,"1139561225753255937",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NickCruzGallo",4,TRUE,FALSE,NA,NA
"Lol I'm realigning the market y'all, soon everybody will be in everybody's price range and how foreign clothing com… https://t.co/16dStZxyTW",FALSE,0,NA,2019-06-14 15:51:26,TRUE,NA,"1139560989437964288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ShaqJJohnson",0,FALSE,FALSE,NA,NA
"RT @hayleynthejets: we love supporting @OutRightIntl in helping to work to advance human rights for LGBTQ+ people all over the world <U+2764><U+FE0F><U+0001F9E1><U+0001F49B><U+0001F49A><U+0001F499>…",FALSE,0,NA,2019-06-14 15:50:31,FALSE,NA,"1139560758981943298",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OutRightIntl",4,TRUE,FALSE,NA,NA
"RT @SameerJainleo: Bitterest pills of life are swallow by father's 4 their family #FathersDay #SelfiewithDad #FathersDay2019 @Jockey @Hanes…",FALSE,0,NA,2019-06-14 15:43:14,FALSE,NA,"1139558924149911557",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KanpuriaLaunda",7,TRUE,FALSE,NA,NA
"These 21 innovative denim finishing techniques developed by @LEVIS  can help #apparel companies save #water in the… https://t.co/wHWYcMt9Ee",FALSE,0,NA,2019-06-14 15:30:51,TRUE,NA,"1139555808730107905",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","H2O_stewards",1,FALSE,FALSE,NA,NA
"The apparel category has accelerated its growth this year, rising by 6%. 

- @Nike thrives as no. 1
- @lululemon is… https://t.co/MZb1bqPPlB",FALSE,1,NA,2019-06-14 15:30:31,TRUE,NA,"1139555723820580864",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","BrandZRankings",1,FALSE,FALSE,NA,NA
"@Boatdrinks @TheScottAdkins @LEVIS To be fair of the two outfits I recon I’d rock the Levi’s too hahaha I am, and you mate! X",FALSE,0,"Boatdrinks",2019-06-14 15:27:34,FALSE,"1139552587978543104","1139554981101613056","127036621","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leonfinnan",0,FALSE,FALSE,NA,NA
"@leonfinnan @TheScottAdkins Nah Leon, nothing but @LEVIS - Perfect premiere garb. <U+0001F602> hope you’re well chap. <U+0001F44A><U+0001F3FC>",FALSE,1,"leonfinnan",2019-06-14 15:18:03,FALSE,"1139516884766904322","1139552587978543104","772489715006246912","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Boatdrinks",0,FALSE,FALSE,NA,NA
"Why help China? @costco @target @WalmartInc @Levis @footlocker @gap 
Why don't you want the United States to succee… https://t.co/zuIyvj2J3o",FALSE,0,NA,2019-06-14 15:15:21,TRUE,NA,"1139551908354543617",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PublicForum3",0,FALSE,FALSE,NA,NA
