"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @thegameawards: A racing game for @Tesla you can use the steering wheel with!? <U+0001F92F>Thank you @elonmusk! #E3Coliseum https://t.co/npzrts78aA",FALSE,0,NA,2019-06-14 01:25:27,FALSE,NA,"1139343057554464768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SS_B7",3257,TRUE,FALSE,NA,NA
"@tesla_truth @28delayslater @elonmusk @Starlight_Energ @Tesla When Tim Cook goes to sleep tonight, tell him to resign.",FALSE,0,"tesla_truth",2019-06-14 01:24:59,FALSE,"1139288640180248576","1139342939023446017","1067553335970955264","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SmoothCat",0,FALSE,FALSE,NA,NA
"RT @DisruptResearch: Idea of a racing video game in a @Tesla is so simple, yet so potent. What a fun way to spend time while supercharging!…",FALSE,0,NA,2019-06-14 01:24:56,FALSE,NA,"1139342928890007552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TeslaNebraska",411,TRUE,FALSE,NA,NA
"RT @DisruptResearch: @elonmusk ""Only criticism, and it's a fair one, sometimes I am not on time. But I get it done. And the @Tesla team get…",FALSE,0,NA,2019-06-14 01:24:38,FALSE,NA,"1139342850402000897",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TeslaNebraska",22,TRUE,FALSE,NA,NA
"@DesiMunda4U @CARandDRIVER @elonmusk @Tesla on top of that there's plenty of evidence that contradicts everything y… https://t.co/fmZJUd4U7I",FALSE,0,"DesiMunda4U",2019-06-14 01:24:29,TRUE,"1139335816046682113","1139342815207591940","68448104","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ras2247",0,FALSE,FALSE,NA,NA
"RT @thegameawards: A racing game for @Tesla you can use the steering wheel with!? <U+0001F92F>Thank you @elonmusk! #E3Coliseum https://t.co/npzrts78aA",FALSE,0,NA,2019-06-14 01:24:23,FALSE,NA,"1139342788045070336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paloma_socal",3257,TRUE,FALSE,NA,NA
"@StreamTesla @Tesla @elonmusk @russ1mitchell , an opposing viewpoint that I think would be worth your time to read.  Thanks.",FALSE,1,"StreamTesla",2019-06-14 01:24:21,FALSE,"1139287042368528384","1139342779937542145","1136182381600108546","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jjhanna2",0,FALSE,FALSE,NA,NA
"@sara_boutall @thegameawards @Tesla @elonmusk What would his version of coal be?",FALSE,0,"sara_boutall",2019-06-14 01:24:05,FALSE,"1139294936921190406","1139342711998287872","1235669784","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","koalafoxbird",0,FALSE,FALSE,NA,NA
"RT @DisruptResearch: Idea of a racing video game in a @Tesla is so simple, yet so potent. What a fun way to spend time while supercharging!…",FALSE,0,NA,2019-06-14 01:23:55,FALSE,NA,"1139342672638775297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arip_se",411,TRUE,FALSE,NA,NA
"RT @thegameawards: A racing game for @Tesla you can use the steering wheel with!? <U+0001F92F>Thank you @elonmusk! #E3Coliseum https://t.co/npzrts78aA",FALSE,0,NA,2019-06-14 01:23:45,FALSE,NA,"1139342630918090752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shade_Wolf_33",3257,TRUE,FALSE,NA,NA
"@DesiMunda4U @CARandDRIVER @elonmusk @Tesla Not practical? Now I know you're joking. Little to no maintenance, oil… https://t.co/PH0uv0eAHf",FALSE,0,"DesiMunda4U",2019-06-14 01:23:45,TRUE,"1139335816046682113","1139342630624669698","68448104","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ras2247",0,FALSE,FALSE,NA,NA
"@elonmusk @Tesla 

Big fan of what Tesla is doing, but what about infrastructure? If EVs are the future, then the p… https://t.co/WLN9gF5hgh",FALSE,0,"elonmusk",2019-06-14 01:23:15,TRUE,NA,"1139342505537921025","44196397","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThePoss101",0,FALSE,FALSE,NA,NA
"RT @thegameawards: A racing game for @Tesla you can use the steering wheel with!? <U+0001F92F>Thank you @elonmusk! #E3Coliseum https://t.co/npzrts78aA",FALSE,0,NA,2019-06-14 01:23:12,FALSE,NA,"1139342490706702336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","komi_senpai",3257,TRUE,FALSE,NA,NA
"@vijaygovindan17 I need to check back with @Sofiaan about how to best optimize Lyft and Uber, before the Tesla netw… https://t.co/terkNMIrod",FALSE,4,"DaveSMT",2019-06-14 01:22:46,TRUE,"1139341533721686016","1139342383114416128","21830933","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DaveSMT",0,FALSE,FALSE,NA,NA
"RT @ICannot_Enough: Just rolled over 5,000 miles this morning in THX ELON, my $TSLA Model 3.

Total energy consumed:
993kWh, making 198 Wh/…",FALSE,0,NA,2019-06-14 01:22:35,FALSE,NA,"1139342333877641216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NGBxShpend",543,TRUE,FALSE,NA,NA
"@thegameawards @elonmusk @Tesla I hope it physically disconnects from the wheels so you don't scrub away your tires while playing!",FALSE,0,"thegameawards",2019-06-14 01:22:30,FALSE,"1139254109565886464","1139342315833552898","2806914710","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SoGeekyEV",0,FALSE,FALSE,NA,NA
"My mom just cracked the screen on her 9000 year old iPhone 6, so it was the perfect time to get her something becau… https://t.co/cGrkhnGIOv",FALSE,7,NA,2019-06-14 01:22:27,TRUE,NA,"1139342303837900800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChrisJames",0,FALSE,FALSE,NA,NA
"@bonnienorman @Tesla @BestWestern I wonder if all bw have them, I travel for work sometimes and I do Marriott's or bw. I love bw.",FALSE,0,"bonnienorman",2019-06-14 01:22:22,FALSE,"1139165016718843904","1139342282820325377","195009699","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kaih042018",0,FALSE,FALSE,NA,NA
